-- Insert DoctorSchedules Data
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('415a74d5-c5da-4a1e-bf53-1504977541bd', '2025-09-13', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('11f39460-ba6e-485c-ab29-3ca135fe3e87', '2025-09-16', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('3438ef24-a729-4812-bac1-189d9d28dbfd', '2025-09-17', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('41707420-a1f9-4dce-a306-ed067b423ddf', '2025-09-18', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('588ac7bf-07c7-4b26-8687-6f2dbfe6a57d', '2025-09-19', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('2246b663-2318-4a9c-90df-5fae38e83e19', '2025-09-13', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4a221e7f-d2ea-4945-a4b0-0677fa38707e', '2025-09-14', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('88766d42-cbe6-44a5-9cc6-94110dfc056c', '2025-09-15', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ac254163-642f-475f-98eb-d7b09f214213', '2025-09-16', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('38cf6fad-c528-4edf-b220-b65cb99733af', '2025-09-17', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('948faecd-c3c5-40c8-8e1f-834504a45f61', '2025-09-18', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('33141c19-eb4f-42f4-bdcd-906058c1e289', '2025-09-19', 'b1f5a110-0006-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('d29770a4-eff4-4332-96b7-dc557c25823d', '2025-09-13', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('1a9fafe6-5ace-443e-ab11-3fd88950306c', '2025-09-14', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('76a67e56-4793-4bea-b6a4-d7975fa419bb', '2025-09-15', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4c64ee54-f3b8-4557-ae32-e26f94d9b83b', '2025-09-16', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ea2834b7-88a0-41a3-b6dd-f4ec0eb46858', '2025-09-17', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('263941bf-6dcc-4a5c-a549-1964d734ba2c', '2025-09-18', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('52734968-bd38-4bd4-80f9-6f4de3055e3e', '2025-09-19', 'b1f5a110-0007-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('caff0235-d85a-48ff-9f81-6bb3ec199769', '2025-09-13', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('91c3d764-5156-4761-b8c6-95c11032b9d8', '2025-09-14', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ae42a906-f197-4452-880d-500aab8fd05d', '2025-09-15', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4a9b2b2b-af99-45c2-847c-de534ccea37b', '2025-09-16', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('cdd9a74a-7064-4d72-8c42-09b78ba9efbc', '2025-09-17', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('68145fef-6662-4aaa-b3c3-cce00104673f', '2025-09-18', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('bc4de8c6-a2a1-4a4e-b095-65b4350896f3', '2025-09-19', 'b1f5a110-0008-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ec048a1b-1230-4591-a415-9cf8136808f8', '2025-09-13', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('bc6dd428-a0a3-489c-8c4f-69fa489484e1', '2025-09-14', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ff450242-151d-4723-8533-f018fc8efc2b', '2025-09-15', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('db5d5ced-73b0-4924-b54c-f89a64cf63e1', '2025-09-16', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('7efeebe5-0e14-4d7d-9cc0-94cff13f5020', '2025-09-17', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('10e166c3-3859-47d9-b479-ac493e791f87', '2025-09-18', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('988f1a50-b66e-45de-a928-9d242ca8799e', '2025-09-19', 'b1f5a110-0009-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('36b8f1dd-d78b-41b5-bbb9-c82c8c62d481', '2025-09-13', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('5d37e06b-1a2d-4202-9320-c7b9934f283b', '2025-09-14', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('021e8c9c-87ee-433b-8d01-252bda865816', '2025-09-15', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4560be1e-d668-4e42-90ac-eccbb27aeb89', '2025-09-16', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('465363f4-0ccc-4293-826a-f31ad68b2d0d', '2025-09-17', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('6a18d0ce-cefd-43f5-acc3-014d9d4ccba4', '2025-09-18', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('7ab76d6e-0bb7-44ff-aeea-a49a905897a4', '2025-09-19', 'b1f5a110-0010-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('3c543361-aad0-4dc2-894e-727ce725c2fb', '2025-09-13', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('b08d75dd-0279-4141-a8fe-1990cca4d5e4', '2025-09-14', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('7df5ed5e-af0f-4c29-ae46-2a5bf4b630bf', '2025-09-15', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('3bf93193-2a60-4f41-aa01-92f61199cc07', '2025-09-16', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('13452676-77b1-4b86-a9b5-fd54e954b694', '2025-09-17', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('de6332fa-010e-4fc5-be20-ab0acced30d0', '2025-09-18', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('d9f8e5d4-2ee6-41de-b8bb-afc00d8af86c', '2025-09-19', 'b1f5a110-0011-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c0de8e4e-6f55-4cf1-b621-6a216776707f', '2025-09-13', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4cb31091-66ad-4fd3-9c96-3dd498222759', '2025-09-14', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('390841e1-cf4c-41cd-b7a7-0fbd2d83ee01', '2025-09-15', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('8033ceb3-97f0-4acf-8f2f-6ce38166f865', '2025-09-16', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('a18d9125-9351-40da-87b6-2d4e09906626', '2025-09-17', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('9c9c57a0-828c-482f-a934-974922be9630', '2025-09-18', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('fe019578-d2e2-4073-adf9-b65ff3cd3d0a', '2025-09-19', 'b1f5a110-0012-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('eb29eb47-9953-4c92-9d9b-24a623cef041', '2025-09-13', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('e91b5411-763a-4b58-9bfd-58e1ebea0533', '2025-09-14', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('39bdccbb-6449-488d-acf9-7e86fc6f91c9', '2025-09-15', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('55895478-54e6-4834-a4f2-6f38c494a7fd', '2025-09-16', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('85f4ca43-49c9-412f-80bf-94222408cacb', '2025-09-17', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('70f46a83-6e26-46a9-bd4c-48a123de3c64', '2025-09-18', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('154b8cd2-08e3-41a6-ae32-627ebf1c1aa8', '2025-09-19', 'b1f5a110-0013-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('11e6017a-5b56-43de-aabf-153e5e9d57bd', '2025-09-13', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('d05dfb8d-0bd7-416b-b0be-61d7616799d0', '2025-09-14', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('38ebabd4-d0ae-45cb-ba58-8ca3e589c2f8', '2025-09-15', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('17cb0a5c-f597-4a37-bff9-58e365a7c53c', '2025-09-16', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('d675b182-b402-4dea-ada3-2fbfce139970', '2025-09-17', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c28a8fd5-2921-4709-a89b-b873989312b5', '2025-09-18', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('b2be5c47-4330-4d5d-b4e8-36321ce897f5', '2025-09-19', 'b1f5a110-0014-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('e719355f-b059-449e-bacd-f01e1dfa417a', '2025-09-13', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('d6d0ac55-ec63-4fde-b688-0912b1c3f23f', '2025-09-14', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('3c91938b-dc41-44cd-a29d-1afd522e8978', '2025-09-15', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('cb97652f-0959-460d-8c2d-1bbad1b510e9', '2025-09-16', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('d35255a9-cc60-4a30-921a-c14fc9c74882', '2025-09-17', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ce070ae6-71e7-41fe-9a2a-a0995381e229', '2025-09-18', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c374a0b1-e5d3-4fbc-9e32-c3c862e9f643', '2025-09-19', 'b1f5a110-0015-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('6bcb7cdc-d384-4be3-9939-7c2f93b5ec9e', '2025-09-13', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('07d9547b-cf2e-49bf-8dfc-aa0b71db1311', '2025-09-14', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c96e483c-fade-460a-9ec2-e3d7ab1cd1c0', '2025-09-15', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4135052b-2fe9-4829-95a5-12568565450e', '2025-09-16', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('4bff6896-d785-4fd1-a34d-cc20d892a2ce', '2025-09-17', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('9ef4167a-91c2-4d7e-b8e8-15851691934a', '2025-09-18', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('162cb4ee-c981-479e-9b7c-3f34406676c6', '2025-09-19', 'b1f5a110-0016-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('7db4cfc6-e1f2-4aa0-9727-55ded802f47b', '2025-09-13', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('88ee97b2-b67a-4392-9417-dd20c3ad83de', '2025-09-14', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('bd9f7669-9e52-4e0b-89f2-15e2bfbe9259', '2025-09-15', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('57db9363-9f1e-4f85-b8a7-d5977a28f067', '2025-09-16', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('6107e7fc-5c10-4c19-bc8d-641102b02385', '2025-09-17', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('739fc029-df8e-4bbb-8e5d-7a2ad98c4b7c', '2025-09-18', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('040abb73-cbe7-4799-856c-14c116fb13ca', '2025-09-19', 'b1f5a110-0017-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ceb70199-314a-4d6c-ab05-d63220006719', '2025-09-13', 'b1f5a110-0018-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('8adfa7fb-d421-4698-890f-f3ec602aef09', '2025-09-14', 'b1f5a110-0018-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('05f357cd-82a1-4466-8925-61676aef5183', '2025-09-15', 'b1f5a110-0018-4e23-bc11-aaa111111111', TRUE);
